label,ext_thumb,dirz_thumb,z_thumb,r_thumb,ext_index,dirz_index,z_index,r_index,ext_middle,dirz_middle,z_middle,r_middle,ext_ring,dirz_ring,z_ring,r_ring,ext_pinky,dirz_pinky,z_pinky,r_pinky,theta_index_middle,theta_middle_ring,theta_ring_pinky,theta_thumb_index,delta_index_middle,delta_index_ring,delta_thumb_index,ang_index_PIP,ang_index_DIP
N,0.172951,0.099605,0.56083,0.687403,0.358267,0.497561,0.380635,0.447768,0.412708,0.886146,0.406587,0.256058,0.439875,0.528586,0.314868,0.388215,0.470547,0.621907,0.33458,0.597312,0.579056,0.561392,0.196857,2.056095,0.33248,0.473557,0.950186,1.292876,2.586462
N,0.164394,0.144583,0.619622,0.681283,0.366153,0.444056,0.333723,0.443048,0.427589,0.819836,0.358831,0.22449,0.45079,0.418448,0.256932,0.384346,0.475888,0.505939,0.275152,0.590005,0.533922,0.543976,0.166077,2.126342,0.317992,0.479617,0.927344,1.161307,2.587011
N,0.179192,0.017488,0.440597,0.651995,0.354625,0.544791,0.43827,0.541198,0.410914,0.82132,0.365022,0.240838,0.440584,0.404463,0.269751,0.441438,0.463481,0.497373,0.274368,0.640945,0.392933,0.568076,0.110505,2.187377,0.370487,0.535441,1.024727,1.32948,2.590483
O,0.08608,0.210174,0.710256,1.181091,0.267886,0.970393,0.880318,0.786639,0.273432,0.992917,0.94721,0.835881,0.264178,0.999502,0.966864,0.872752,0.244544,0.967621,0.911914,0.893037,0.126346,0.149597,0.242014,1.41143,0.254643,0.5097,0.828792,2.286957,2.160916
O,0.028085,0.287682,0.716915,1.12033,0.275663,0.882955,0.888336,0.756026,0.27413,0.93151,0.943811,0.846316,0.265337,0.895118,0.809834,0.853093,0.242407,0.959238,0.739443,0.924337,0.117488,0.151101,0.182597,1.708078,0.291025,0.568235,0.930169,2.141751,2.631451
O,0.05224,0.243757,0.662352,1.059806,0.286468,0.841118,0.820918,0.692506,0.292848,0.895829,0.838894,0.769972,0.269931,0.890358,0.742925,0.811223,0.25362,0.952022,0.674094,0.884008,0.128902,0.132787,0.204124,1.796071,0.290453,0.531887,0.927374,2.051198,2.61994
P,0.131294,-0.023007,0.416836,0.843211,0.099497,0.144453,0.362133,1.727857,0.167084,0.716031,1.12564,1.567878,0.362324,0.703816,0.726283,0.841619,0.363113,0.58954,0.615362,0.871553,0.902836,1.511803,0.309475,0.337836,1.484667,2.356449,0.918445,2.892995,2.673325
P,0.1085,0.140832,0.590818,0.895871,0.123579,0.203323,0.430626,1.658636,0.134549,0.53284,0.808336,1.546438,0.365939,0.628577,0.511552,0.671088,0.360942,0.562823,0.424565,0.689669,0.698465,1.749689,0.469571,0.191292,1.238247,2.195586,0.875897,2.810583,2.556937
P,0.072716,0.135454,0.567335,1.024814,0.10381,0.179321,0.480471,2.096987,0.164528,0.492188,0.831692,1.713233,0.400034,0.183369,0.208287,0.641825,0.394379,0.233023,0.22989,0.672147,0.703335,1.888606,0.693161,0.084534,1.428868,2.662276,1.173923,2.943091,2.73076
P,0.075092,0.13387,0.578102,0.942283,0.110096,0.243562,0.587014,1.998128,0.141679,0.508512,0.872249,1.727468,0.390143,0.165278,0.199485,0.670775,0.402854,0.037972,0.155695,0.710463,0.641989,2.005013,0.608803,0.161329,1.342431,2.601223,1.113446,2.848129,2.725917
Q,0.152596,0.50154,1.516865,1.49568,0.151659,0.634422,1.775816,2.405745,0.44569,0.782427,0.436121,0.251891,0.425414,0.261346,0.231753,0.514029,0.378181,0.611185,0.549018,0.578309,1.54045,0.683477,0.770859,0.1974,2.365469,2.70925,1.136033,2.881633,2.681967
